AbsClampIATCall                        returned 0 writes, no hit
InstallSelf4Cascade                    returned 36 writes, no hit
InstallSelf5CallVecChain               returned 5 writes, no hit
InstallSelfAbsDiff                     returned 17 writes, no hit
InstallSelfAccumCheck                  returned 17 writes, no hit
InstallSelfAccumOverflow               returned 17 writes, no hit
InstallSelfBit2LoopIndirect            returned 39 writes, no hit
InstallSelfBit4Gate                    returned 4 writes, no hit
InstallSelfBitGate                     returned 20 writes, no hit
InstallSelfBitGated                    returned 11 writes, no hit
InstallSelfBootInit                    ran out  40 writes, no hit
InstallSelfBranchCascade               returned 5 writes, no hit
InstallSelfBranchIndirect              ran out  7 writes, no hit
InstallSelfCallBitGate                 returned 4 writes, no hit
InstallSelfCascadeSequence             ran out  6 writes, no hit
InstallSelfCascadingCalls              returned 27 writes, no hit
InstallSelfChain494d60                 returned 18 writes, no hit
InstallSelfChain4Call                  returned 39 writes, no hit
InstallSelfChainAccumPath              ran out  26 writes, no hit
InstallSelfChainAddSigned              returned 4 writes, no hit
InstallSelfChainCallStateInits         returned 35 writes, no hit
InstallSelfChainCascade                returned 20 writes, no hit
InstallSelfChainCmpDispatch            returned 4 writes, no hit
InstallSelfChainEsi                    returned 30 writes, no hit
InstallSelfChainExtendCall_GameModeAdvanceCluster returned 22 writes, no hit
InstallSelfChainExtendCall_InitZeroChainLookupJmp returned 16 writes, no hit
InstallSelfChainExtendCall_MStackPushSet0Jmp returned 35 writes, no hit
InstallSelfChainExtendCall_MStackPushSet6Jmp returned 40 writes, no hit
InstallSelfChainExtendCall_ScaledChainJmp returned 18 writes, no hit
InstallSelfChainPlusGuardedTail        returned 25 writes, no hit
InstallSelfChainSet13333               returned 34 writes, no hit
InstallSelfChainSet13333Alt            returned 48 writes, no hit
InstallSelfChainSet2011                returned 37 writes, no hit
InstallSelfChainSet80Call              returned 22 writes, no hit
InstallSelfChainSet84_80Call           returned 40 writes, no hit
InstallSelfChainSet84_80CallW          returned 50 writes, no hit
InstallSelfChainSetB333                returned 34 writes, no hit
InstallSelfChainSetB333v2              returned 34 writes, no hit
InstallSelfChainSetB333v3              returned 34 writes, no hit
InstallSelfChainStateInit              returned 35 writes, no hit
InstallSelfChainedDispatch             returned 17 writes, no hit
InstallSelfCmdStreamInterp             returned 17 writes, no hit
InstallSelfCmpJgJmp                    returned 4 writes, no hit
InstallSelfCmpJlJmp                    returned 4 writes, no hit
InstallSelfCmpJmpIndirect              returned 5 writes, no hit
InstallSelfCountdown2Stage_Phase1ChainSetupCallScale6 returned 5 writes, no hit
InstallSelfCountdown2Stage_PopCallBitCmpPushCall returned 4 writes, no hit
InstallSelfCountdownBit                returned 4 writes, no hit
InstallSelfCountdownCascade            returned 0 writes, no hit
InstallSelfCountdownChain              returned 27 writes, no hit
InstallSelfCountdownDispatch           returned 4 writes, no hit
InstallSelfCountdownLong               returned 13 writes, no hit
InstallSelfCountdownStr                returned 15 writes, no hit
InstallSelfCountedAccum                returned 10 writes, no hit
InstallSelfCounter                     ran out  4 writes, no hit
InstallSelfDecBitCheck                 ran out  2 writes, no hit
InstallSelfDecCmpGate                  returned 14 writes, no hit
InstallSelfDecrement                   returned 40 writes, no hit
InstallSelfDispatch                    returned 10 writes, no hit
InstallSelfDoubleMStack                returned 39 writes, no hit
InstallSelfDualBranch                  returned 12 writes, no hit
InstallSelfDualBranchInit              ran out  28 writes, no hit
InstallSelfDualChain                   ran out  2 writes, no hit
InstallSelfDualCountdown               returned 11 writes, no hit
InstallSelfDualEntry                   returned 11 writes, no hit
InstallSelfDualEsi                     returned 10 writes, no hit
InstallSelfDualPath                    returned 26 writes, no hit
InstallSelfDualPathInit                returned 19 writes, no hit
InstallSelfDualStateDispatch           returned 26 writes, no hit
InstallSelfFiveStoreCalls              returned 47 writes, no hit
InstallSelfFlagCountdown               returned 5 writes, no hit
InstallSelfFourStatePauseChain         returned 19 writes, no hit
InstallSelfFullChainInit               returned 26 writes, no hit
InstallSelfFullPath                    returned 18 writes, no hit
InstallSelfHelper2                     returned 16 writes, no hit
InstallSelfHelperGate                  returned 16 writes, no hit
InstallSelfIndexWalk                   ran out  5 writes, no hit
InstallSelfIndirectJmp                 returned 6 writes, no hit
InstallSelfIndirectJmpNeg              returned 5 writes, no hit
InstallSelfMStackBranchIndirect        ran out  7 writes, no hit
InstallSelfMStackCountdown             returned 4 writes, no hit
InstallSelfMStackIndirect              returned 4 writes, no hit
InstallSelfMStackOverwrite             returned 8 writes, no hit
InstallSelfMStackPackedFlow            returned 22 writes, no hit
InstallSelfMStackPushDispatch          ran out  5 writes, no hit
InstallSelfMStackPush_CjInstallSelfRouter returned 25 writes, no hit
InstallSelfMStackPush_FiveCallGuardSetTail_00496630 returned 18 writes, no hit
InstallSelfMStackPush_FiveCallGuardSetTail_004968a0 returned 18 writes, no hit
InstallSelfMStackPush_StackPopDispatchTagged ran out  12 writes, no hit
InstallSelfMagicShift                  returned 1 writes, no hit
InstallSelfMidPush                     ran out  26 writes, no hit
InstallSelfMul10                       returned 15 writes, no hit
InstallSelfMultiCascade                returned 4 writes, no hit
InstallSelfMultiCascadeChainCopy       returned 19 writes, no hit
InstallSelfMultiThunkDispatch          returned 17 writes, no hit
InstallSelfNegOrSet                    returned 7 writes, no hit
InstallSelfNoCheck                     ran out  4 writes, no hit
InstallSelfOrChainCmpJmp               returned 4 writes, no hit
InstallSelfOrChainJmp                  returned 4 writes, no hit
InstallSelfOrCmpJmp                    returned 4 writes, no hit
InstallSelfPacked0x2005                returned 34 writes, no hit
InstallSelfPackedF190                  returned 5 writes, no hit
InstallSelfPackedF80                   ran out  4 writes, no hit
InstallSelfPackedTailJmp               ran out  23 writes, no hit
InstallSelfPair                        returned 4 writes, no hit
InstallSelfPair3Branch                 returned 11 writes, no hit
InstallSelfPairedGate                  returned 6 writes, no hit
InstallSelfPathSelfLoop                returned 4 writes, no hit
InstallSelfPause2                      returned 18 writes, no hit
InstallSelfPauseGate                   returned 4 writes, no hit
InstallSelfPauseTwoCall                returned 14 writes, no hit
InstallSelfPlusTailThunk               ran out  5 writes, no hit
InstallSelfPlusThresholdJmpChain       ran out  6 writes, no hit
InstallSelfPlusTrampoline              returned 1 writes, no hit
InstallSelfPushArg                     returned 20 writes, no hit
InstallSelfPushDualCallCmpGt           returned 4 writes, no hit
InstallSelfPushDualCallCmpLt           returned 4 writes, no hit
InstallSelfReenterSelfJmp              returned 29 writes, no hit
InstallSelfReentry                     returned 11 writes, no hit
InstallSelfScaledAdv3d7Cmp             returned 4 writes, no hit
InstallSelfScaledChain                 returned 18 writes, no hit
InstallSelfSearchAccum                 returned 10 writes, no hit
InstallSelfSetTagJmp                   returned 13 writes, no hit
InstallSelfSnapshot64                  returned 19 writes, no hit
InstallSelfStackReset                  ran out  2 writes, no hit
InstallSelfState88                     returned 10 writes, no hit
InstallSelfStateCascade                returned 4 writes, no hit
InstallSelfStateCountdown              returned 35 writes, no hit
InstallSelfStateCounter                returned 25 writes, no hit
InstallSelfStateMachine6               ran out  27 writes, no hit
InstallSelfStateMachine_ScaledArrStore_GuardedChainCmpDualBitXor returned 20 writes, no hit
InstallSelfStateMachine_SwapOrPassSet  ran out  25 writes, no hit
InstallSelfStatePush_CallPauseConstStoreJmp_Push80SetWalkNegDualCallPop_then_InstallSelfWaitCmp_00435b00 returned 17 writes, no hit
InstallSelfStatePush_CallPauseConstStoreJmp_Push80SetWalkNegDualCallPop_then_InstallSelfWaitCmp_00435d40 returned 17 writes, no hit
InstallSelfStatePush_InstallSelf3StateDualBody_004348f0 returned 28 writes, no hit
InstallSelfStatePush_InstallSelf3StateDualBody_00434990 returned 28 writes, no hit
InstallSelfStdChain                    returned 39 writes, no hit
InstallSelfStoreTwoCall                returned 13 writes, no hit
InstallSelfStride5                     returned 6 writes, no hit
InstallSelfTableDispatch               returned 5 writes, no hit
InstallSelfTableWalk                   ran out  9 writes, no hit
InstallSelfThreeStateBranch            returned 42 writes, no hit
InstallSelfThreeStateDispatch          returned 35 writes, no hit
InstallSelfThreeStateLeaPlus22         returned 36 writes, no hit
InstallSelfThreeStateScaledLoad        returned 13 writes, no hit
InstallSelfThreeStateSiblingPair       returned 13 writes, no hit
InstallSelfThresholdDispatch           returned 4 writes, no hit
InstallSelfTri                         returned 4 writes, no hit
InstallSelfTwoTailJmp                  returned 18 writes, no hit
InstallSelfWaitCmp                     returned 4 writes, no hit
InstallSelfWithBody                    returned 4 writes, no hit
InstallSelfWithDispatch                returned 11 writes, no hit
InstallSelfWithSibling                 returned 29 writes, no hit
InstallSelfWithStateInit               returned 38 writes, no hit
IntToBufBase8                          returned 0 writes, no hit
IntroComboFsmCluster                   returned 4 writes, no hit
IntroFsmCluster                        returned 21 writes, no hit
IntroInitCluster                       returned 6 writes, no hit
IntroSequencePipeline                  returned 3 writes, no hit
IntroSettingsFsmCluster                returned 16 writes, no hit
IsCType                                returned 0 writes, no hit
IsNonzeroBoolFlagged                   returned 0 writes, no hit
IterFnPtrs                             returned 0 writes, no hit
IterLoad_g_scaledInit_00542044_then_MStackPush4IndirectCall ran out  8 writes, no hit
IterLoad_g_scaledInit_00542048_then_DualScaledStoreZero returned 5 writes, no hit
IterLoad_g_scaledInit_00542048_then_Thunk_Thunk_0049cbc0 returned 9 writes, no hit
IterStepDualStore                      returned 2 writes, no hit
IterStepNegStore                       returned 4 writes, no hit
IterStepNoSecond                       returned 1 writes, no hit
IterStepScaledStore                    returned 1 writes, no hit
IterStepScaledStore24                  returned 4 writes, no hit
IterateCallSkip                        returned 0 writes, no hit
